Abert's Towhee,ABTO,Melozone aberti,MELABE
Audubon's Shearwater,AUSH,Puffinus lherminieri,PUFLHE
Audubon's Warbler,AUWA,Setophaga coronata auduboni,SETCAU
Aztec Rail,AZRA,Rallus tenuirostris,RALTEN
Aztec Thrush,AZTH,Ridgwayia pinicola,RIDPIN
Azure Gallinule,AZGA,Porphyrio flavirostris,PORFLA
Azure-crowned Hummingbird,AZCH*,Amazilia cyanocephala,AMACYC*
Azure-hooded Jay,AHJA,Cyanolyca cucullata,CYACUC
Azure-rumped Tanager,ARTA,Tangara cabanisi,TANCAB
Bachman's Sparrow,BACS*,Peucaea aestivalis,PEUAES
Bachman's Warbler,BAWA,Vermivora bachmanii,VERBAC
Bahama Mockingbird,BAMO,Mimus gundlachii,MIMGUN
Bahama Oriole,BAHO*,Icterus northropi,ICTNOR
Bahama Swallow,BAHS*,Tachycineta cyaneoviridis,TACCYA
Bahama Warbler,BAHW*,Setophaga flavescens,SETFLA
Bahama Woodstar,BAWO,Calliphlox evelynae,CALEVE
Bahama Yellowthroat,BAYE,Geothlypis rostrata,GEOROS
Baikal Teal,BATE,Sibirionetta formosa,SIBFOR
Baird's Junco,BAJU,Junco bairdi,JUNBAI
Baird's Sandpiper,BASA,Calidris bairdii,CALBAI
Baird's Sparrow,BAIS*,Ammodramus bairdii,AMMBAI
Baird's Trogon,BATR,Trogon bairdii,TROBAI
Bald Eagle,BAEA,Haliaeetus leucocephalus,HALLEU
Balsas Screech-Owl,BASO,Megascops seductus,MEGSED
Baltimore Oriole,BAOR,Icterus galbula,ICTGAL
Bananaquit,BANA,Coereba flaveola,COEFLA
Band-backed Wren,BABW*,Campylorhynchus zonatus,CAMZON
Banded Quail,BAQU,Philortyx fasciatus,PHIFAS
Banded Wren,BANW*,Thryophilus pleurostictus,THRPLE
Band-rumped Storm-Petrel,BSTP*,Oceanodroma castro,OCECAS
Band-rumped Swift,BRSW,Chaetura spinicaudus,CHASPI
Band-tailed Barbthroat,BTBA,Threnetes ruckeri,THRRUC
Band-tailed Pigeon,BTPI,Patagioenas fasciata,PATFAS
Bank Swallow,BANS*,Riparia riparia,RIPRIP
Barbados Bullfinch,BABU,Loxigilla barbadensis,LOXBAD
Barbuda Warbler,BARW*,Setophaga subita,SETSUB
Bare-crowned Antbird,BACA*,Gymnocichla nudiceps,GYMNUD
Bare-legged Owl,BLOW,Margarobyas lawrencii,MARLAW
Bare-necked Umbrellabird,BNUM,Cephalopterus glabricollis,CEPGLA
Bare-shanked Screech-Owl,BSSO,Megascops clarkii,MEGCLA
Bare-throated Tiger-Heron,BTTH,Tigrisoma mexicanum,TIGMEX
Barn Owl,BANO*,Tyto alba,TYTALB
Barn Swallow,BARS*,Hirundo rustica,HIRRUS
Barnacle Goose,BARG*,Branta leucopsis,BRALEU
Barolo Shearwater,BASH,Puffinus baroli,PUFBAR
Barred Antshrike,BAAN,Thamnophilus doliatus,THADOL
Barred Becard,BABE,Pachyramphus versicolor,PACVER
Barred Forest-Falcon,BAFF,Micrastur ruficollis,MICRUF
Barred Hawk,BAHA,Morphnarchus princeps,MORPRI
Barred Owl,BADO*,Strix varia,STRVAR
Barred Parakeet,BAPA,Bolborhynchus lineola,BOLLIN
Barred Puffbird,BAPU,Nystalus radiatus,NYSRAD
Barrow's Goldeneye,BAGO,Bucephala islandica,BUCISL
Bar-tailed Godwit,BTGO,Limosa lapponica,LIMLAP
Bar-winged Oriole,BWOR,Icterus maculialatus,ICTMAC
Bat Falcon,BAFA,Falco rufigularis,FALRUF
Bay Wren,BAYW*,Cantorchilus nigricapillus,CANNIG
Bay-breasted Cuckoo,BBRC*,Coccyzus rufigularis,COCRUF
Bay-breasted Warbler,BBWA,Setophaga castanea,SETCAS
Bay-headed Tanager,BHTA,Tangara gyrola,TANGYR
Bearded Screech-Owl,BESO,Megascops barbarus,MEGBAR
Bearded Wood-Partridge,BEWP,Dendrortyx barbatus,DENBAR
Beautiful Hummingbird,BEAH*,Calothorax pulcher,CALPUL
Beautiful Treerunner,BETR,Margarornis bellulus,MARBEL
Bee Hummingbird,BEEH*,Mellisuga helenae,MELHEL
Belcher's Gull,BEGU*,Larus belcheri,LARBEL
Belding's Savannah Sparrow,BSSP,Passerculus s. beldingi,PASSBE
Belding's Yellowthroat,BEYE,Geothlypis beldingi,GEOBEL
Bell's Sparrow,BESP*,Artemisiospiza belli,ARTBEL
Bell's Vireo,BEVI,Vireo bellii,VIRBEL
Belted Flycatcher,BEFL,Xenotriccus callizonus,XENCAL
Belted Kingfisher,BEKI,Megaceryle alcyon,MEGALC
Bendire's Thrasher,BETH,Toxostoma bendirei,TOXBEN
Bermuda Petrel,BEPE,Pterodroma cahow,PTECAH
Berylline Hummingbird,BEHU,Amazilia beryllina,AMABER
Bewick's Swan,BESW,Cygnus c. bewickii,CYGCBE
Bewick's Wren,BEWR,Thryomanes bewickii,THRBEW
Bicknell's Thrush,BITH,Catharus bicknelli,CATBIC
Bicolored Antbird,BIAN,Gymnopithys bicolor,GYMBIC
Bicolored Hawk,BIHA,Accipiter bicolor,ACCBIC
Bicolored Wren,BIWR,Campylorhynchus griseus,CAMGRI
Bishop's Oo,BIOO,Moho bishopi,MOHBIS
Black Antshrike,BLAN,Thamnophilus nigriceps,THANIG
Black Brant,BLBR,Branta b. nigricans,BRABNI
Black Catbird,BLCA,Melanoptila glabrirostris,MELGLA
Black Francolin,BLFR,Francolinus francolinus,FRAFRA
Black Guan,BLAG*,Chamaepetes unicolor,CHAUNI
Black Guillemot,BLGU,Cepphus grylle,CEPGRY
Black Hawk-Eagle,BLHE,Spizaetus tyrannus,SPITYR
Black Kite,BLAK*,Milvus migrans,MILMIG
Black Mamo,BLMA,Drepanis funerea,DREFUN
Black Noddy,BLNO,Anous minutus,ANOMIN
Black Oropendola,BLOR,Psarocolius guatimozinus,PSAGUA
Black Oystercatcher,BLOY,Haematopus bachmani,HAEBAC
Black Phoebe,BLPH,Sayornis nigricans,SAYNIG
Black Rail,BLRA,Laterallus jamaicensis,LATJAM
Black Rosy-Finch,BLRF,Leucosticte atrata,LEUATT*
Black Scoter,BLSC,Melanitta americana,MELAME
Black Skimmer,BLSK,Rynchops niger,RYNNIG
Black Storm-Petrel,BLSP,Oceanodroma melania,OCEMEL
Black Swift,BLSW,Cypseloides niger,CYPNIG
Black Tern,BLTE,Chlidonias niger,CHLNIG
Black Thrush,BLTH,Turdus infuscatus,TURINF
Black Turnstone,BLTU,Arenaria melanocephala,AREMEL
Black Vulture,BLVU,Coragyps atratus,CORATR
Black-and-white Becard,BAWB,Pachyramphus albogriseus,PACALB
Black-and-white Hawk-Eagle,BAWH,Spizaetus melanoleucus,SPIMEL
Black-and-white Owl,BLWO*,Ciccaba nigrolineata,CICNIG
Black-and-white Warbler,BAWW,Mniotilta varia,MNIVAR
Black-and-yellow Silky-flycatcher,BAYS,Phainoptila melanoxantha,PHAMEL
Black-and-yellow Tanager,BAYT,Chrysothlypis chrysomelas,CHRCHR
Black-backed Oriole,BBOR,Icterus abeillei,ICTABE
Black-backed Woodpecker,BBWO,Picoides arcticus,PICARC
Black-banded Woodcreeper,BBNW*,Dendrocolaptes picumnus,DENPIM*
Black-bellied Hummingbird,BLBH*,Eupherusa nigriventris,EUPNIG
Black-bellied Plover,BBPL,Pluvialis squatarola,PLUSQU
Black-bellied Storm-Petrel,BBSP,Fregetta tropica,FRETRO
Black-bellied Whistling-Duck,BBWD,Dendrocygna autumnalis,DENAUT
Black-bellied Wren,BBEW*,Pheugopedius fasciatoventris,PHEFAS
Black-billed Cuckoo,BBCU,Coccyzus erythropthalmus,COCERY
Black-billed Flycatcher,BLBF*,Aphanotriccus audax,APHAUD
Black-billed Magpie,BBMA,Pica hudsonia,PICHUD
Black-billed Nightingale-Thrush,BBNT,Catharus gracilirostris,CATGRA
Black-billed Parrot,BBPA,Amazona agilis,AMAAGI
Black-breasted Puffbird,BBPU,Notharchus pectoralis,NOTPEC
Black-breasted Wood-Quail,BBWQ,Odontophorus leucolaemus,ODOLEU
Black-browed Albatross,BBAL,Thalassarche melanophris,THAMEL
Blackburnian Warbler,BLBW*,Setophaga fusca,SETFUS
Black-capped Chickadee,BCCH,Poecile atricapillus,POEATR
Black-capped Donacobius,BCDO,Donacobius atricapilla,DONATR
Black-capped Flycatcher,BCAF*,Empidonax atriceps,EMPATR
Black-capped Gnatcatcher,BCGN,Polioptila nigriceps,POLNIG
Black-capped Petrel,BCPE,Pterodroma hasitata,PTEHAS
Black-capped Pygmy-Tyrant,BPYT*,Myiornis atricapillus,MYIATP*
Black-capped Siskin,BCSI,Spinus atriceps,SPIATC*
Black-capped Swallow,BCSW,Atticora pileata,ATTPIL
Black-capped Vireo,BCVI,Vireo atricapilla,VIRATR
Black-cheeked Ant-Tanager,BCAT,Habia atrimaxillaris,HABATR
Black-cheeked Warbler,BCWA,Basileuterus melanogenys,BASMEG*
Black-cheeked Woodpecker,BCWO,Melanerpes pucherani,MELPUC
Black-chested Jay,BCHJ*,Cyanocorax affinis,CYAAFF
Black-chested Sparrow,BCHS*,Peucaea humeralis,PEUHUM
Black-chinned Hummingbird,BCHU,Archilochus alexandri,ARCALE
Black-chinned Sparrow,BCSP,Spizella atrogularis,SPIATG*
Black-collared Hawk,BCHA,Busarellus nigricollis,BUSNIG
Black-cowled Oriole,BCOR,Icterus prosthemelas,ICTPRO
Black-crested Coquette,BCCO,Lophornis helenae,LOPHEL
Black-crested Titmouse,BCTI,Baeolophus atricristatus,BAEATR
Black-crowned Antpitta,BCAP*,Pittasoma michleri,PITMIC
Black-crowned Antshrike,BCAS*,Thamnophilus atrinucha,THAATR
Black-crowned Night-Heron,BCNH,Nycticorax nycticorax,NYCNYC
Black-crowned Palm-Tanager,BPLT*,Phaenicophilus palmarum,PHAPAL
Black-crowned Tityra,BCRT*,Tityra inquisitor,TITINQ
Black-eared Wood-Quail,BEWQ,Odontophorus melanotis,ODOMEL
Black-faced Antthrush,BFAN,Formicarius analis,FORANA
Black-faced Grassquit,BFGR,Tiaris bicolor,TIABIC
Black-faced Grosbeak,BFAG*,Caryothraustes poliogaster,CARPOL
Black-faced Solitaire,BFSO,Myadestes melanops,MYAMEL
Black-footed Albatross,BFAL,Phoebastria nigripes,PHONIG
Black-headed Antthrush,BHEA*,Formicarius nigricapillus,FORNIG
Black-headed Brushfinch,BHBR,Arremon atricapillus,ARRATR
Black-headed Grosbeak,BHGR,Pheucticus melanocephalus,PHEMEL
Black-headed Gull,BHGU,Chroicocephalus ridibundus,CHRRID
Black-headed Nightingale-Thrush,BHNT,Catharus mexicanus,CASMEX*
Black-headed Saltator,BHSA,Saltator atriceps,SALATR
Black-headed Siskin,BHSI,Spinus notatus,SPINOT
Black-headed Tody-Flycatcher,BHTF,Todirostrum nigriceps,TODNIG
Black-headed Trogon,BHTR,Trogon melanocephalus,TROMEC*
Black-hooded Antshrike,BHOA*,Thamnophilus bridgesi,THABRI
Black-legged Kittiwake,BLKI,Rissa tridactyla,RISTRI
Black-necked Stilt,BNST,Himantopus mexicanus,HIMMEX
Blackpoll Warbler,BLPW*,Setophaga striata,SETSTR
Black-polled Yellowthroat,BPYE,Geothlypis speciosa,GEOSPE
Black-rumped Waxbill,BRUW*,Estrilda troglodytes,ESTTRO
Black-striped Sparrow,BSTS*,Arremonops conirostris,ARRCON
Black-striped Woodcreeper,BSWO,Xiphorhynchus lachrymosus,XIPLAC
Black-tailed Flycatcher,BTFL,Myiobius atricaudus,MYIATD*
Black-tailed Gnatcatcher,BTGN,Polioptila melanura,POLMEL
Black-tailed Godwit,BTGD*,Limosa limosa,LIMLIM
Black-tailed Gull,BTGU*,Larus crassirostris,LARCRA
Black-tailed Trogon,BTAT*,Trogon melanurus,TROMER*
Black-thighed Grosbeak,BTGG*,Pheucticus tibialis,PHETIB
Black-throated Blue Warbler,BTBW,Setophaga caerulescens,SETCAE
Black-throated Bobwhite,BTBO,Colinus nigrogularis,COLNIG
Black-throated Gray Warbler,BTYW*,Setophaga nigrescens,SETNIG
Black-throated Green Warbler,BTNW*,Setophaga virens,SETVIR
Black-throated Jay,BTJA,Cyanolyca pumilo,CYAPUM
Black-throated Magpie-Jay,BTMJ,Calocitta colliei,CALCOL
Black-throated Mango,BTMA,Anthracothorax nigricollis,ANTNIG
Black-throated Shrike-Tanager,BTST,Lanio aurantius,LANAUR
Black-throated Sparrow,BTSP,Amphispiza bilineata,AMPBIL
Black-throated Trogon,BTHT*,Trogon rufus,TRORUS*
Black-throated Wren,BTWR,Pheugopedius atrogularis,PHEATR
Black-tipped Cotinga,BTCO,Carpodectes hopkei,CARHOP
Black-vented Oriole,BVOR,Icterus wagleri,ICTWAG
Black-vented Shearwater,BVSH,Puffinus opisthomelas,PUFOPI
Black-whiskered Vireo,BWVI,Vireo altiloquus,VIRALT
Black-winged Petrel,BWPE,Pterodroma nigripennis,PTENIG
Black-winged Stilt,BWST,Himantopus himantopus,HIMHIM
Blue Bunting,BLBU,Cyanocompsa parellina,CYAPAR
Blue Cotinga,BLCO,Cotinga nattererii,COTNAT
Blue Dacnis,BLDA,Dacnis cayana,DACCAY
Blue Grosbeak,BLGR,Passerina caerulea,PASCAE
Blue Ground-Dove,BLGD,Claravis pretiosa,CLAPRE
Blue Jay,BLJA,Cyanocitta cristata,CYACRI
Blue Mockingbird,BLMO,Melanotis caerulescens,MELCAE
Blue Mountain Vireo,BMVI,Vireo osburni,VIROSB
Blue Seedeater,BLSE,Amaurospiza concolor,AMSCON*
Blue-and-gold Tanager,BAGT,Bangsia arcaei,BANARC
Blue-and-white Mockingbird,BAWM,Melanotis hypoleucus,MELHYC*
Blue-and-white Swallow,BAWS,Pygochelidon cyanoleuca,PYGCYA
Blue-and-yellow Macaw,BAYM,Ara ararauna,ARAARA
Blue-black Grassquit,BGRA*,Volatinia jacarina,VOLJAC
Blue-black Grosbeak,BGRO*,Cyanocompsa cyanoides,CYACYD*
Blue-capped Hummingbird,BCAH*,Eupherusa cyanophrys,EUPCYP*
Blue-capped Motmot,BCMO,Momotus coeruliceps,MOMCOE
Blue-chested Hummingbird,BCHH*,Amazilia amabilis,AMAAMB*
Blue-crowned Chlorophonia,BCRC*,Chlorophonia occipitalis,CHLOCC
Blue-crowned Manakin,BCRM*,Lepidothrix coronata,LEPCOR
Blue-footed Booby,BFBO,Sula nebouxii,SULNEB
Blue-fronted Parrotlet,BFPA,Touit dilectissimus,TOUDIL
Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,POLCAE
Blue-gray Noddy,BGNO,Anous ceruleus,ANOCER
Blue-gray Tanager,BGTA,Thraupis episcopus,THREPI
Blue-headed Hummingbird,BHHU,Cyanophaia bicolor,CYABIC
Blue-headed Parrot,BHEP*,Pionus menstruus,PIOMEN
Blue-headed Quail-Dove,BHQD,Starnoenas cyanocephala,STACYA
Blue-headed Vireo,BHVI,Vireo solitarius,VIRSOL
Blue-tailed Hummingbird,BTLH*,Amazilia cyanura,AMACYR*
Bluethroat,BLUE,Luscinia svecica,LUSSVE
Blue-throated Goldentail,BTRG*,Hylocharis eliciae,HYLELI
Blue-throated Hummingbird,BTHH*,Lampornis clemenciae,LAMCLE
Blue-throated Motmot,BTMO,Aspatha gularis,ASPGUL
Blue-winged Teal,BWTE,Spatula discors,SPADIS
Blue-winged Warbler,BWWA,Vermivora cyanoptera,VERCYA
Blyth's Reed Warbler,BREW,Acrocephalus dumetorum,ACRDUM
Boat-billed Flycatcher,BOBF*,Megarynchus pitangua,MEGPIT
Boat-billed Heron,BBHE,Cochlearius cochlearius,COCCOL*
Boat-tailed Grackle,BTGR,Quiscalus major,QUIMAJ
Bobolink,BOBO,Dolichonyx oryzivorus,DOLORY
Bohemian Waxwing,BOWA,Bombycilla garrulus,BOMGAR
Bonaparte's Gull,BOGU,Chroicocephalus philadelphia,CHRPHI
Bonin Petrel,BOPE,Pterodroma hypoleuca,PTEHYP
Boreal Chickadee,BOCH,Poecile hudsonicus,POEHUD
Boreal Owl,BOOW,Aegolius funereus,AEGFUN
Botteri's Sparrow,BOSP,Peucaea botterii,PEUBOT
Boucard's Wren,BOWR,Campylorhynchus jocosus,CAMJOC
Brace's Emerald,BREM,Chlorostilbon bracei,CHLBRA
Brambling,BRAM,Fringilla montifringilla,FRIMON
Bran-colored Flycatcher,BCOF*,Myiophobus fasciatus,MYIFAS
Brandt's Cormorant,BRAC*,Phalacrocorax penicillatus,PHAPEN
Brant,BRAN,Branta bernicla,BRABER
Brant Intergrade,BRIN,Branta b. bern. x nigri.,BRABBN
Brewer's Blackbird,BRBL,Euphagus cyanocephalus,EUPCYC*
Brewer's Sparrow,BRSP,Spizella breweri,SPIBRE
Brewster's Warbler,BRWA,Vermivora chrysoptera x cyanoptera,VERCCY
Bridled Quail-Dove,BRQD,Geotrygon mystacea,GEOMYS
Bridled Sparrow,BRIS*,Peucaea mystacalis,PEUMYS
Bridled Tern,BRTE,Onychoprion anaethetus,ONYANA
Bridled Titmouse,BRTI,Baeolophus wollweberi,BAEWOL
Bright-rumped Attila,BRAT,Attila spadiceus,ATTSPA
Bristle-thighed Curlew,BTCU,Numenius tahitiensis,NUMTAH
Broad-billed Hummingbird,BBIH*,Cynanthus latirostris,CYNLAT
Broad-billed Motmot,BBMO,Electron platyrhynchum,ELEPLA
Broad-billed Sandpiper,BBIS*,Calidris falcinellus,CALFAL
Broad-billed Tody,BBTO,Todus subulatus,TODSUB
Broad-tailed Hummingbird,BTAH*,Selasphorus platycercus,SELPLA
Broad-winged Hawk,BWHA,Buteo platypterus,BUTPLT*
Bronze Mannikin,BRMA,Spermestes cucullata,SPECUC
Bronzed Cowbird,BROC*,Molothrus aeneus,MOLAEN
Bronze-olive Pygmy-Tyrant,BOPT,Pseudotriccus pelzelni,PSEPEL
Bronze-tailed Plumeleteer,BTPL,Chalybura urochrysia,CHAURO
Bronzy Hermit,BRHE,Glaucis aeneus,GLAAEN
Brown Booby,BRBO,Sula leucogaster,SULLEU
Brown Creeper,BRCR,Certhia americana,CERAME
Brown Jay,BRJA,Psilorhinus morio,PSIMOR
Brown Noddy,BRNO,Anous stolidus,ANOSTO
Brown Pelican,BRPE,Pelecanus occidentalis,PELOCC
Brown Shrike,BROS*,Lanius cristatus,LANCRI
Brown Thrasher,BRTH,Toxostoma rufum,TOXRUF
Brown Trembler,BRTR,Cinclocerthia ruficauda,CINRUF
Brown Violetear,BRVI,Colibri delphinae,COLDEL
Brown-backed Solitaire,BBSO,Myadestes occidentalis,MYAOCC
Brown-billed Scythebill,BBSC,Campylorhamphus pusillus,CAMPUS
Brown-capped Rosy-Finch,BCRF,Leucosticte australis,LEUAUS
Brown-capped Tyrannulet,BCTY,Ornithion brunneicapillus,ORNBRU
Brown-capped Vireo,BCAV*,Vireo leucophrys,VIRLEU
Brown-chested Martin,BCMA,Progne tapera,PROTAP
Brown-crested Flycatcher,BCFL,Myiarchus tyrannulus,MYITYR
Brown-headed Cowbird,BHCO,Molothrus ater,MOLATE
Brown-headed Nuthatch,BHNU,Sitta pusilla,SITPUS
Brown-hooded Parrot,BHOP*,Pyrilia haematotis,PYRHAE
Brownish Twistwing,BRTW,Cnipodectes subbrunneus,CNISUB
Brown-throated Parakeet,BTPA,Eupsittula pertinax,EUPPER
Bryan's Shearwater,BRYS*,Puffinus bryani,PUFBRY
Budgerigar,BUDG,Melopsittacus undulatus,MELUND
Buff-bellied Hummingbird,BBEH*,Amazilia yucatanensis,AMAYUC
Buff-breasted Flycatcher,BBFL,Empidonax fulvifrons,EMPFUL
Buff-breasted Sandpiper,BBSA,Calidris subruficollis,CALSUR*
Buff-breasted Wren,BBRW*,Cantorchilus leucotis,CANLET*
Buff-collared Nightjar,BCNI,Antrostomus ridgwayi,ANTRID
Buff-fronted Foliage-gleaner,BFFG,Philydor rufum,PHIRUF
Buff-fronted Quail-Dove,BFQD,Zentrygon costaricensis,ZENCOS
Bufflehead,BUFF,Bucephala albeola,BUCALB
Buff-necked Ibis,BNIB,Theristicus caudatus,THECAU
Buff-rumped Warbler,BURW*,Myiothlypis fulvicauda,MYIFUL
Buff-throated Foliage-gleaner,BTFG,Automolus ochrolaemus,AUTOCH
Buff-throated Saltator,BTSA,Saltator maximus,SALMAX
Buffy Tuftedcheek,BUTU,Pseudocolaptes lawrencii,PSELAW
Buffy-crowned Wood-Partridge,BCWP,Dendrortyx leucophrys,DENLEU
Buller's Shearwater,BULS*,Ardenna bulleri,ARDBUL
Bullock's Oriole,BUOR,Icterus bullockii,ICTBUL
Bullock's x Baltimore Oriole Hybrid,BBOH,Icterus bullockii x galb.,ICTBUG
Bulwer's Petrel,BUPE,Bulweria bulwerii,BULBUL
Bumblebee Hummingbird,BUHU,Atthis heloisa,ATTHEL
Burrowing Owl,BUOW,Athene cunicularia,ATHCUN
Bushtit,BUSH,Psaltriparus minimus,PSAMIN
Bushy-crested Jay,BCRJ*,Cyanocorax melanocyaneus,CYAMEL
Cabanis's Ground-Sparrow,CAGS,Melozone cabanisi,MELCAB
Cabanis's Wren,CABW*,Cantorchilus modestus,CANMOD
Cackling Goose,CACG*,Branta hutchinsii,BRAHUT
Cactus Wren,CACW*,Campylorhynchus brunneicapillus,CAMBRU
California Condor,CACO,Gymnogyps californianus,GYMCAL
California Gnatcatcher,CAGN,Polioptila californica,POLCAL
California Gull,CAGU,Larus californicus,LARCAL
California Quail,CAQU,Callipepla californica,CALCAL
California Scrub-Jay,CASJ,Aphelocoma californica,APHCAL
California Thrasher,CATH,Toxostoma redivivum,TOXRED
California Towhee,CALT*,Melozone crissalis,MELCRI
Calliope Hummingbird,CAHU,Selasphorus calliope,SELCAL
Canada Goose,CANG*,Branta canadensis,BRACAN
Canada Warbler,CAWA,Cardellina canadensis,CADCAN
Canebrake Wren,CAKW*,Cantorchilus zeledoni,CANZEL
Canivet's Emerald,CAEM,Chlorostilbon canivetii,CHLCAV*
Canvasback,CANV,Aythya valisineria,AYTVAL
Canyon Towhee,CANT*,Melozone fusca,MEZFUS*
Canyon Wren,CANW*,Catherpes mexicanus,CAPMEX*
Cape May Warbler,CMWA,Setophaga tigrina,SETTIG
Cape Sable Seaside-Sparrow,CSSS,Ammodramus m. mirabilis,AMMMMI
Cape Verde Shearwater,CVSH,Calonectris edwardsii,CALEDW
Capped Heron,CAHE,Pilherodius pileatus,PILPIL
Carib Grackle,CAGR,Quiscalus lugubris,QUILUG
Caribbean Dove,CADO,Leptotila jamaicensis,LEPJAM
Caribbean Elaenia,CAEL,Elaenia martinica,ELAMAR
Caribbean Martin,CAMA,Progne dominicensis,PRODOM
Carmiol's Tanager,CATA,Chlorothraupis carmioli,CHLCAR
Carolina Chickadee,CACH,Poecile carolinensis,POECAR
Carolina Parakeet,CAPA,Conuropsis carolinensis,CONCAL*
Carolina Wren,CARW*,Thryothorus ludovicianus,THRLUD
Carolina X Black-c. Chickadee Hybrid,CBCC*,Poecile caroli. x atrica.,POECAA
Caspian Tern,CATE,Hydroprogne caspia,HYDCAS
Cassia Crossbill,CACR,Loxia sinesciuris,LOXSIN
Cassin's Auklet,CAAU,Ptychoramphus aleuticus,PTYALE
Cassin's Finch,CAFI,Haemorhous cassinii,HAECAS
Cassin's Kingbird,CAKI,Tyrannus vociferans,TYRVOC
Cassin's Sparrow,CASP,Peucaea cassinii,PEUCAS
Cassin's Vireo,CAVI,Vireo cassinii,VIRCAS
